"1","Purple Man","Formerly Purple Children (leader and father), Villains for Hire, Hoods gang, partner of Electro, his own band of criminals","https://www.superherodb.com/pictures2/portraits/10/100/10451.jpg","Marvel Comics","3",NULL,"2020-01-13 01:25:43"
"2","Howard the Duck","No known group affiliation","https://www.superherodb.com/pictures2/portraits/11/100/82.jpg","Marvel Comics","8",NULL,"2020-01-13 01:25:42"
"3","Jyn Erso","No known group affiliation","https://www.superherodb.com/pictures2/portraits/10/100/10562.jpg","George Lucas","-11",NULL,"2020-01-13 01:25:37"
"4","Black Flash","No known group affiliation","https://www.superherodb.com/pictures2/portraits/10/100/10831.jpg","DC Comics","3",NULL,"2020-01-12 02:21:30"
"5","Azrael","Order of St. Dumas; formerly Gotham City Police Department; Three Ghosts of Batman","https://www.superherodb.com/pictures2/portraits/10/100/1532.jpg","DC Comics","3",NULL,"2020-01-13 00:32:41"
"6","Namorita","Formerly Council of Three, New Warriors, Fantastic Four, Soldiers of Misfortune, Water Children","https://www.superherodb.com/pictures2/portraits/10/100/106.jpg","Marvel Comics","18",NULL,"2020-01-12 21:02:56"
"7","Elektra","S.H.I.E.L.D.; formerly Thunderbolts, Hand, Chaste, Heroes For Hire, Code Red, partner of Daredevil and Deadpool","https://www.superherodb.com/pictures2/portraits/10/100/625.jpg","Marvel Comics","0",NULL,NULL
"8","Guy Gardner","Green Lantern Corps, Formerly Justice League of America","https://www.superherodb.com/pictures2/portraits/10/100/700.jpg","DC Comics","4",NULL,"2020-01-12 21:27:32"
"9","Hela","No known group affiliation","https://www.superherodb.com/pictures2/portraits/10/100/10835.jpg","Marvel Comics","2",NULL,"2020-01-12 00:35:51"
"10","Kylo Ren","No known group affiliation","https://www.superherodb.com/pictures2/portraits/10/100/10559.jpg","George Lucas","1",NULL,"2020-01-13 01:29:40"
"11","Machine Man","Avengers","https://www.superherodb.com/pictures2/portraits/10/100/90.jpg","Marvel Comics","5",NULL,NULL
"12","Bullseye","Formerly Dark Avengers, Thunderbolts, employee of Kingpin, Purple Man, Eric Slaughter, Mysterio; formerly US Army","https://www.superherodb.com/pictures2/portraits/10/100/624.jpg","Marvel Comics","0",NULL,NULL
"13","Cecilia Reyes","X-Men","https://www.superherodb.com/pictures2/portraits/10/100/43.jpg","Marvel Comics","0",NULL,NULL
"14","Man-Thing","Thunderbolts, Legion of Monsters, Daydreamers","https://www.superherodb.com/pictures2/portraits/10/100/382.jpg","Marvel Comics","0",NULL,NULL
"15","Nova","Nova Corps formely United Front (Leader), New Warriors, Champions of Xandar, Secret Defenders, Defender for a day","https://www.superherodb.com/pictures2/portraits/10/100/109.jpg","Marvel Comics","0",NULL,NULL
"16","Flash Gordon","No known group affiliation","https://www.superherodb.com/pictures2/portraits/10/100/1345.jpg","No known group affiliation","0",NULL,NULL
"17","Doc Samson","No known group affiliation","https://www.superherodb.com/pictures2/portraits/10/100/54.jpg","Marvel Comics","3",NULL,"2020-01-11 23:27:29"
